# Táblázat
"Forrás","Magyarország, DKT-Gemius (15+ belföldi közönség), 2018-09-01 - 2018-09-30"
"Riport","Domain-ek"
"Létrehozva","2021-07-25,15:02:31,CET"
"Periódus","2018-09-01 - 2018-09-30"
"Lokációk","Belföld"
"Platform","Teljes"
"Mutató","Real users"
"Node","Real users","Elérés - Internet","Oldalletöltések","Látogatások","Idő [s] (másodpercek)"
"Internet","6071538","0.9947","7782268819","1471819869","793553417317"
"Internet | blog.hu","2902548","0.4755","29239124","12678432","3694228207"
"Internet | 24.hu","2832613","0.4641","58643680","28194356","5141872909"
"Internet | origo.hu","2693658","0.4413","110925435","28748161","8741765102"
"Internet | arukereso.hu","2604224","0.4267","38997133","10038001","1991390131"
"Internet | index.hu","2540182","0.4162","160758036","41805612","17787172143"
"Internet | nlcafe.hu","2438501","0.3995","35535920","18374814","2603812320"
"Internet | jofogas.hu","2435062","0.399","143197778","17928040","8811493267"
"Internet | femina.hu","2263451","0.3708","39639632","11712133","1227841071"
"Internet | blikk.hu","2136956","0.3501","60724022","19851676","3754844470"
"Internet | hvg.hu","1970180","0.3228","33936224","14810067","3196530657"
"Internet | hazipatika.com","1957050","0.3206","12280418","6961213","1099511305"
"Internet | nosalty.hu","1817052","0.2977","20422229","7913487","2109046254"
"Internet | idokep.hu","1796798","0.2944","45897902","18769261","3948576763"
"Internet | hasznaltauto.hu","1795385","0.2942","180369348","13497277","7226990906"
"Internet | webbeteg.hu","1574356","0.2579","6251373","4054490","696677193"
"Internet | startlap.hu","1535252","0.2515","49799315","28067161","9569538111"
"Internet | vatera.hu","1525271","0.2499","34229211","4816244","1724147305"
"Internet | 444.hu","1516353","0.2484","29596971","13358970","4383532472"
"Internet | mindmegette.hu","1437936","0.2356","9686939","4634772","1165765270"
"Internet | napi.hu","1427025","0.2338","13627545","8103385","809884419"
"Internet | indavideo.hu","1391905","0.228","31954182","9479080","14465998980"
"Internet | life.hu","1336683","0.219","26052710","8357397","1157545260"
"Internet | port.hu","1317996","0.2159","27091552","5156220","1601036063"
"Internet | cafeblog.hu","1304984","0.2138","7591698","4679392","716207253"
"Internet | szeretlekmagyarorszag.hu","1248502","0.2046","27954627","7584852","956678632"
"Internet | vezess.hu","1145680","0.1877","7810685","4785999","636876588"
"Internet | videa.hu","1097928","0.1799","21257497","7469403","14126025451"
"Internet | freemail.hu","1075757","0.1762","167429289","21805610","5887884784"
"Internet | portfolio.hu","1053127","0.1725","14886544","5678505","1703102811"
"Internet | bien.hu","1010051","0.1655","8205706","2653699","313387668"
"Internet | borsonline.hu","962849","0.1578","10964710","4546097","865558029"
"Internet | koponyeg.hu","903638","0.148","9307964","5852992","787522787"
"Internet | femcafe.hu","903010","0.1479","10706825","2875297","280771003"
"Internet | totalcar.hu","898144","0.1471","16967660","4553857","1364102397"
"Internet | penzcentrum.hu","897741","0.1471","3725287","2862097","302913222"
"Internet | mindenegyben.com","896460","0.1469","6050505","4312143","444992774"
"Internet | divany.hu","873535","0.1431","6180214","3114408","580717586"
"Internet | velvet.hu","873532","0.1431","16797798","4194857","602725295"
"Internet | programturizmus.hu","858475","0.1407","2517501","1338647","174866646"
"Internet | profession.hu","835841","0.1369","21192067","3765458","1164994439"
"Internet | atv.hu","815983","0.1337","7362068","4365120","965281613"
"Internet | nemzetisport.hu","812393","0.1331","42881336","13990370","3397799718"
"Internet | noizz.hu","796197","0.1304","3027315","2238552","271274293"
"Internet | player.hu","794099","0.1301","4559835","2941645","374464392"
"Internet | rtl.hu","781060","0.128","3909532","1779369","447291951"
"Internet | receptneked.hu","757634","0.1241","3809943","2058912","357603096"
"Internet | zoom.hu","708612","0.1161","4160684","2685881","344662055"
"Internet | topszotar.hu","641141","0.105","3869691","1392114","222086649"
"Internet | csaladinet.hu","630867","0.1034","1418356","1167150","188437162"
"Internet | wmn.hu","630152","0.1032","2962532","1829390","542095333"
"Internet | eduline.hu","620026","0.1016","1920427","1076691","151255976"
"Internet | hirado.hu","619280","0.1015","2850578","1933707","258005840"
"Internet | ittlakunk.hu","605337","0.0992","1795758","1217667","134003442"
"Internet | reblog.hu","600437","0.0984","2420855","1605912","334684472"
"Internet | hirstart.hu","579805","0.095","12966679","5906834","984461076"
"Internet | mafab.hu","574846","0.0942","2807794","999894","207466326"
"Internet | joy.hu","571829","0.0937","5520497","1627817","158952480"
"Internet | 168ora.hu","557472","0.0913","2699380","1837135","314642776"
"Internet | portal.ceginformacio.hu","554637","0.0909","1356635","921519","205436417"
"Internet | startapro.hu","533910","0.0875","8782937","1001965","249918025"
"Internet | egeszsegkalauz.hu","523160","0.0857","1523932","1085233","170484042"
"Internet | agroinform.hu","509937","0.0835","7728561","1464449","494404503"
"Internet | hrportal.hu","507077","0.0831","1593595","810268","176814161"
"Internet | kisalfold.hu","505488","0.0828","6758108","2572036","448857375"
"Internet | autonavigator.hu","504072","0.0826","2152418","1146164","252357280"
"Internet | cosmopolitan.hu","503593","0.0825","2777780","1453053","179453223"
"Internet | glamour.hu","495478","0.0812","2989438","1442597","180230627"
"Internet | alon.hu","487926","0.0799","2778079","1215193","129490151"
"Internet | moly.hu","470971","0.0772","3207682","1389360","401921332"
