# Táblázat
"Forrás","Magyarország, DKT-Gemius (15+ belföldi közönség), 2019-01-01 - 2019-01-31"
"Riport","Domains"
"Létrehozva","2021-07-26,16:16:28,CET"
"Periódus","2019-01-01 - 2019-01-31"
"Lokációk","Belföld"
"Platform","Teljes"
"Mutató","Real users"
"Node","Real users","Elérés - Internet","Oldalletöltések","Látogatások","Idő [s] (másodpercek)"
"Internet","6133041","0.9929","8746425972","1706803319","889134634369"
"Internet | blog.hu","3644858","0.5901","37406201","16836573","4617489482"
"Internet | 24.hu","3352549","0.5428","79089221","39311807","7118265579"
"Internet | index.hu","3003877","0.4863","200067385","53575047","22219264212"
"Internet | origo.hu","2966164","0.4802","117947933","32379999","9660434834"
"Internet | nlcafe.hu","2867956","0.4643","47184855","24896856","3643365838"
"Internet | arukereso.hu","2819419","0.4565","49020560","12821494","2510342816"
"Internet | jofogas.hu","2606610","0.422","160866545","19806846","9628866106"
"Internet | blikk.hu","2585118","0.4185","90302716","29890038","5662049189"
"Internet | hvg.hu","2498611","0.4045","40320816","18530529","3955876753"
"Internet | femina.hu","2438367","0.3948","45687317","15319610","1545357058"
"Internet | hazipatika.com","2339366","0.3787","16877291","8935925","1323308781"
"Internet | nosalty.hu","2100753","0.3401","25460470","9946757","2166627938"
"Internet | webbeteg.hu","2020766","0.3272","9940009","6246885","1056789482"
"Internet | 444.hu","1973650","0.3195","36935899","17632943","5370112090"
"Internet | mindmegette.hu","1907710","0.3089","16025465","7373982","1837059509"
"Internet | hasznaltauto.hu","1884330","0.3051","208958366","15246027","8349751329"
"Internet | cafeblog.hu","1799978","0.2914","10793186","6969416","986028682"
"Internet | life.hu","1785249","0.289","32132433","10732388","1577533782"
"Internet | idokep.hu","1753274","0.2839","62823117","23724590","5161319798"
"Internet | startlap.hu","1696694","0.2747","60925503","33985755","11463002537"
"Internet | napi.hu","1674833","0.2712","17731709","10779450","1059444353"
"Internet | vatera.hu","1608873","0.2605","41490638","5599459","2082179847"
"Internet | port.hu","1543153","0.2498","39328409","7031594","2236899486"
"Internet | videa.hu","1533269","0.2482","28307281","11244746","23099487983"
"Internet | szeretlekmagyarorszag.hu","1521600","0.2463","30049933","9292100","1166643159"
"Internet | portfolio.hu","1477054","0.2391","22608486","8531872","2290230521"
"Internet | indavideo.hu","1398716","0.2265","33621769","9001833","14169302834"
"Internet | vezess.hu","1167322","0.189","9952640","6056677","864426404"
"Internet | rtl.hu","1154341","0.1869","9791019","4146432","951020185"
"Internet | profession.hu","1151172","0.1864","28738774","5150147","1550584534"
"Internet | freemail.hu","1116164","0.1807","193962116","25508913","6493039195"
"Internet | borsonline.hu","1103335","0.1786","12698148","5035464","1008716523"
"Internet | divany.hu","1085807","0.1758","8538370","4310489","907738175"
"Internet | player.hu","1061113","0.1718","5774937","3849706","512408126"
"Internet | velvet.hu","1052148","0.1703","18678378","4698767","654153635"
"Internet | totalcar.hu","1004456","0.1626","19241914","5450933","1561918549"
"Internet | atv.hu","979800","0.1586","8571762","5286535","1188793395"
"Internet | receptneked.hu","976434","0.1581","5386956","3049716","479385751"
"Internet | penzcentrum.hu","967064","0.1566","4043528","3109759","338518205"
"Internet | femcafe.hu","966398","0.1565","12608754","3184521","321351770"
"Internet | noizz.hu","928666","0.1504","4316517","2722270","378699428"
"Internet | alon.hu","914175","0.148","5040072","2484538","285433438"
"Internet | wmn.hu","911817","0.1476","3882503","2509003","717692080"
"Internet | egeszsegkalauz.hu","902065","0.146","2434804","1877756","269208191"
"Internet | topszotar.hu","836054","0.1354","5373051","1992700","317932766"
"Internet | reblog.hu","818976","0.1326","3594066","2218873","448277319"
"Internet | hrportal.hu","810178","0.1312","3540271","1462924","359233219"
"Internet | nemzetisport.hu","801397","0.1297","45800659","14634355","3585876452"
"Internet | minden-egyben.com","791192","0.1281","6218123","4612177","531358816"
"Internet | cosmopolitan.hu","769164","0.1245","4563735","2482292","283585537"
"Internet | bien.hu","762569","0.1235","9559641","2900292","409114519"
"Internet | tv2.hu","762498","0.1234","6506310","2585282","2061363469"
"Internet | mafab.hu","731816","0.1185","4018169","1350775","285041251"
"Internet | portal.ceginformacio.hu","729423","0.1181","1860174","1239012","249097603"
"Internet | koponyeg.hu","729239","0.1181","7526804","4701913","674793780"
"Internet | hirado.hu","696548","0.1128","3076095","2170962","259356016"
