# Táblázat
"Forrás","Magyarország, DKT-Gemius (15+ belföldi közönség), 2019-05-01 - 2019-05-31"
"Riport","Domain-ek"
"Létrehozva","2021-07-25,15:07:08,CET"
"Periódus","2019-05-01 - 2019-05-31"
"Lokációk","Belföld"
"Platform","Teljes"
"Mutató","Real users"
"Node","Real users","Elérés - Internet","Oldalletöltések","Látogatások","Idő [s] (másodpercek)"
"Internet","6199459","0.9945","8648562596","1675370881","807516105573"
"Internet | 24.hu","3554886","0.5703","75534661","39398387","5916531261"
"Internet | blog.hu","3530343","0.5663","31862086","14097788","3483417945"
"Internet | index.hu","3397993","0.5451","202039148","56525561","22091379327"
"Internet | origo.hu","3323793","0.5332","119416742","33757375","9166172953"
"Internet | arukereso.hu","2753797","0.4418","44346279","11463015","2249157904"
"Internet | nlc.hu","2743386","0.4401","39934368","22030423","2663756110"
"Internet | hvg.hu","2724078","0.437","46933030","22497676","4489533449"
"Internet | jofogas.hu","2670572","0.4284","176494913","20470636","8572691210"
"Internet | blikk.hu","2443332","0.392","58856166","25133651","4195432505"
"Internet | femina.hu","2365507","0.3795","50401366","15485245","1422422315"
"Internet | idokep.hu","2283572","0.3663","79925755","31395795","6553939381"
"Internet | hazipatika.com","2230418","0.3578","14543320","7793863","1120142294"
"Internet | 444.hu","2185617","0.3506","35668970","17654322","4933840288"
"Internet | nosalty.hu","2102713","0.3373","23375824","9936993","2145922271"
"Internet | mindmegette.hu","2003771","0.3214","15836432","7550923","1766841329"
"Internet | hasznaltauto.hu","1926527","0.3091","185992498","15294242","7353614490"
"Internet | life.hu","1751668","0.281","27376358","9196019","1194729146"
"Internet | napi.hu","1732074","0.2779","16661304","10018805","971518244"
"Internet | webbeteg.hu","1672878","0.2684","6569149","4297232","707976836"
"Internet | portfolio.hu","1631803","0.2618","21518709","8458758","2166393650"
"Internet | cafeblog.hu","1610665","0.2584","9968972","5984034","786314950"
"Internet | startlap.hu","1605874","0.2576","53266679","30458055","10009254501"
"Internet | videa.hu","1583759","0.2541","29541914","10765189","21541115193"
"Internet | szeretlekmagyarorszag.hu","1544901","0.2478","21803917","7818819","932173286"
"Internet | vezess.hu","1437375","0.2306","10713516","6822492","879304894"
"Internet | port.hu","1399622","0.2245","29243389","5382972","1609621979"
"Internet | borsonline.hu","1360853","0.2183","11154223","5219714","921235224"
"Internet | vatera.hu","1354175","0.2172","32878942","4366726","1653432665"
"Internet | atv.hu","1261437","0.2024","11193533","6565403","1328629956"
"Internet | nemzetisport.hu","1223593","0.1963","54711973","18062711","4266817127"
"Internet | bien.hu","1202562","0.1929","10540400","3728036","630880659"
"Internet | infostart.hu","1173126","0.1882","5831811","3893690","343239787"
"Internet | femcafe.hu","1154577","0.1852","13750719","3901109","384709096"
"Internet | divany.hu","1152763","0.1849","8702138","4210586","884285228"
"Internet | freemail.hu","1120786","0.1798","181188792","23820355","6261207154"
"Internet | penzcentrum.hu","1118352","0.1794","4103355","3235004","289886076"
"Internet | noizz.hu","1111092","0.1782","3564715","2731148","275781599"
"Internet | velvet.hu","1066923","0.1712","16230167","4502854","611490818"
"Internet | hirado.hu","1064862","0.1708","4147613","2998727","361687672"
"Internet | programturizmus.hu","1030520","0.1653","3349297","1674961","230175194"
"Internet | player.hu","1027113","0.1648","5868658","3868578","482917744"
"Internet | totalcar.hu","1004135","0.1611","17674604","5054990","1385050397"
"Internet | indavideo.hu","990087","0.1588","28306426","6716199","9539921034"
"Internet | rtl.hu","962566","0.1544","4110393","2257611","428583282"
"Internet | koponyeg.hu","922203","0.1479","10336463","6572350","939167974"
"Internet | profession.hu","890211","0.1428","21719895","3913795","1188732623"
"Internet | eduline.hu","840859","0.1349","6542459","2134213","439048729"
"Internet | cosmopolitan.hu","837419","0.1343","4981974","3074855","317668493"
"Internet | mafab.hu","800305","0.1284","4262431","1496128","277215021"
"Internet | 168ora.hu","794748","0.1275","3854371","2762151","419850225"
"Internet | egeszsegkalauz.hu","790179","0.1268","2097089","1613013","229208255"
"Internet | receptneked.hu","787780","0.1264","3784446","2156062","339740039"
"Internet | topszotar.hu","779828","0.1251","4648461","1807387","264348964"
"Internet | tv2.hu","762841","0.1224","4228728","2243381","1128695019"
"Internet | wmn.hu","761498","0.1222","3481116","2260545","654652680"
"Internet | filantropikum.com","757962","0.1216","2118009","1620548","189104797"
"Internet | alon.hu","707843","0.1136","4679490","2183462","196213943"
"Internet | joy.hu","707537","0.1135","9608730","2400535","242070641"
"Internet | nepszava.hu","676039","0.1085","9463068","2135461","524537072"
"Internet | portal.ceginformacio.hu","660986","0.106","1667396","1158874","248405707"
"Internet | glamour.hu","654005","0.1049","3373373","2081273","232747069"
"Internet | csaladinet.hu","648509","0.104","1632454","1342890","229536541"
"Internet | kisalfold.hu","633901","0.1017","7846505","3086331","506856192"
"Internet | m4sport.hu","629172","0.1009","3385642","2194116","669498560"
"Internet | ittlakunk.hu","614915","0.0986","1756557","1187626","126527706"
"Internet | minden-egyben.com","593728","0.0952","4541280","3367684","321236880"
"Internet | delmagyar.hu","582913","0.0935","5363310","2368469","374852105"
"Internet | mediaklikk.hu","581814","0.0933","5333595","2396444","3634405475"
"Internet | blogstar.hu","580288","0.0931","1647240","1152011","175745005"
"Internet | agroinform.hu","568504","0.0912","8666646","1892534","577720610"
"Internet | hirstart.hu","566178","0.0908","12533224","5683813","1017142744"
"Internet | babaszoba.hu","557548","0.0894","2507137","1497114","211980958"
"Internet | autonavigator.hu","554439","0.0889","2326302","1297914","261925553"
"Internet | informed.hu","551158","0.0884","1782091","970016","125018975"
"Internet | ridikul.hu","541987","0.0869","1050630","837051","79010229"
"Internet | startapro.hu","530605","0.0851","10098296","1117659","253939264"
"Internet | hrportal.hu","529608","0.085","1758760","847770","192637941"
"Internet | propeller.hu","525213","0.0843","3587044","2055028","265681395"
"Internet | napidoktor.hu","525180","0.0843","1224410","923695","119374739"
"Internet | reblog.hu","517968","0.0831","2372678","1540537","364249585"
"Internet | mfor.hu","492600","0.079","1502027","1092738","159647519"
"Internet | gamestar.hu","481604","0.0773","3946098","2299854","291784092"
"Internet | privatbankar.hu","467711","0.075","1955699","1434637","222836643"
"Internet | nuus.hu","463493","0.0744","1464699","1101537","107893232"
"Internet | streetkitchen.hu","447484","0.0718","2489890","1138566","309877675"
"Internet | met.hu","444236","0.0713","11456199","4479352","1005566037"
"Internet | g-portal.hu","429232","0.0689","2767121","1012515","586837096"
"Internet | ingatlantajolo.hu","425448","0.0683","4198703","967811","196438124"
"Internet | eredmenyek.com","421730","0.0677","17864067","7161688","4339037194"
"Internet | ingatlanbazar.hu","417214","0.0669","3419925","1108919","361614018"
"Internet | ign.hu","415707","0.0667","3481380","2053576","401065319"
"Internet | welovebudapest.com","414622","0.0665","1019824","691344","98402373"
"Internet | alfahir.hu","411682","0.066","1474138","1029165","164348835"
"Internet | tenyek.hu","409929","0.0658","905965","607424","103706190"
"Internet | eoldal.hu","408465","0.0655","1558568","765327","139574509"
"Internet | travelo.hu","408458","0.0655","1054847","732284","98370036"
"Internet | bookline.hu","405722","0.0651","4519803","910244","226332314"
"Internet | magyarnarancs.hu","400503","0.0642","1700285","1114815","216861621"
"Internet | alapjarat.hu","398428","0.0639","983559","835680","114684091"
"Internet | kremmania.hu","393482","0.0631","6225887","1248080","258443211"
"Internet | pcworld.hu","386681","0.062","1313752","880540","127808729"
"Internet | g7.hu","383257","0.0615","1342524","1019164","226540243"
"Internet | menetrendek.hu","378134","0.0607","1195732","890853","517050635"
"Internet | qubit.hu","376180","0.0603","1024988","773433","178025625"
"Internet | style.hu","375828","0.0603","1530994","923410","103291552"
"Internet | mobilarena.hu","375602","0.0603","4718778","1460061","426450045"
"Internet | szotar.sztaki.hu","373032","0.0598","3742881","1061323","393196288"
"Internet | haon.hu","370784","0.0595","3624284","1382419","196107843"
"Internet | szon.hu","368618","0.0591","4107141","1532280","223656271"
"Internet | hirklikk.hu","365545","0.0586","2768412","1891464","326943847"
"Internet | sorozatbarat.online","363150","0.0583","19724234","6868733","1551663530"
"Internet | nyugat.hu","358946","0.0576","4052490","1804056","297207030"
"Internet | boon.hu","352821","0.0566","4186829","1516337","226333273"
"Internet | rtlmost.hu","352001","0.0565","12381375","3872212","8684788070"
"Internet | vg.hu","347290","0.0557","1035781","620896","84087493"
"Internet | kamaszpanasz.hu","343856","0.0552","643451","463279","59360754"
"Internet | she.hu","340345","0.0546","1397581","909069","189646597"
"Internet | retikul.hu","337720","0.0542","2177423","594635","-"
"Internet | sobors.hu","331855","0.0532","1118592","726475","149272152"
"Internet | citromail.hu","330106","0.053","55799931","5677392","1225522581"
"Internet | veol.hu","327493","0.0525","1641861","964970","110844316"
"Internet | zaol.hu","326694","0.0524","1996465","970885","135058953"
"Internet | maxapro.hu","322345","0.0517","1246176","519582","58212197"
"Internet | csakfoci.hu","321667","0.0516","4635874","2303257","408352285"
"Internet | beol.hu","316650","0.0508","2128404","1101309","160086844"
"Internet | mult-kor.hu","314284","0.0504","1097441","634474","157870980"
"Internet | bama.hu","309629","0.0497","2354329","1254675","155890864"
"Internet | bankmonitor.hu","308257","0.0495","717060","490108","122799485"
"Internet | atlatszo.hu","307475","0.0493","717574","563316","124182842"
"Internet | automotor.hu","306930","0.0492","801902","494633","68936493"
"Internet | szuloklapja.hu","305460","0.049","802183","518989","69443132"
"Internet | hirtv.hu","304560","0.0489","1383645","811608","317544188"
"Internet | utvonalterv.hu","302349","0.0485","1010212","560710","275598485"
"Internet | ado.hu","302229","0.0485","728741","435431","108367369"
"Internet | starity.hu","301097","0.0483","1909567","663801","77180637"
"Internet | prohardver.hu","300176","0.0482","7773973","1711099","610708893"
"Internet | libri.hu","298306","0.0479","2850841","573044","184310117"
"Internet | network.hu","297728","0.0478","697604","413759","54341740"
"Internet | zeneszoveg.hu","297527","0.0477","878289","491289","54935182"
"Internet | jobbmintatv.hu","295246","0.0474","7084224","2718774","6269800699"
"Internet | baon.hu","287700","0.0462","1716917","1030369","128298594"
"Internet | szoljon.hu","287331","0.0461","1329072","759734","95046207"
"Internet | marieclaire.hu","285841","0.0459","685994","512727","61036232"
"Internet | formula.hu","282704","0.0454","2168462","1174925","170847065"
"Internet | otthonterkep.hu","282474","0.0453","1460739","590454","119360757"
"Internet | pcforum.hu","281135","0.0451","680787","456079","74941025"
"Internet | feol.hu","280952","0.0451","1654591","995539","111605697"
"Internet | racingbazar.hu","280392","0.045","2747590","603029","132983933"
"Internet | edenkert.hu","277985","0.0446","563651","402248","72291407"
"Internet | twn.hu","277071","0.0444","5117686","1029824","74248781"
"Internet | hobbikert.hu","271832","0.0436","706388","501730","95824467"
"Internet | ma.hu","269920","0.0433","825511","611644","63819004"
"Internet | wellandfit.hu","266419","0.0427","644044","496910","51466189"
"Internet | net.jogtar.hu","265356","0.0426","782878","572386","287072080"
"Internet | musor.tv","264992","0.0425","2050588","788284","147494068"
"Internet | sussfelnap.hu","264769","0.0425","1305128","596861","66123891"
"Internet | jogiforum.hu","264537","0.0424","607931","342712","76348245"
"Internet | adozona.hu","262370","0.0421","916743","514720","123492916"
"Internet | almaimotthona.hu","259311","0.0416","483586","377408","45554555"
"Internet | ng.hu","256396","0.0411","670291","440894","62090593"
"Internet | nemzeticegtar.hu","256223","0.0411","782932","390432","59445437"
"Internet | autoalkatresz.hu","255763","0.041","2421843","519006","133950587"
"Internet | ingatlannet.hu","253896","0.0407","2813631","592401","151591976"
"Internet | evamagazin.hu","253795","0.0407","2089936","414141","50861725"
"Internet | twice.hu","250173","0.0401","817605","610452","71495760"
"Internet | dmdamedia.hu","249604","0.04","13203257","4392558","9792705032"
"Internet | astronet.hu","244555","0.0392","3464956","899298","104119225"
"Internet | vaol.hu","243007","0.039","1820160","931374","123107923"
"Internet | piac-profit.hu","234199","0.0376","410288","344844","71052515"
"Internet | magyarorszagom.hu","226286","0.0363","415289","297865","38571603"
"Internet | puliwood.hu","226066","0.0363","674119","468378","74311704"
"Internet | gphirek.hu","225515","0.0362","4173158","849615","207653132"
"Internet | mozicsillag.cc","220282","0.0353","2863623","658782","143893657"
"Internet | startlak.hu","219944","0.0353","1675148","417363","74437561"
"Internet | helyesiras.mta.hu","218017","0.035","1600020","453802","159078663"
"Internet | hardverapro.hu","217400","0.0349","10235854","1457047","398397865"
"Internet | ezermester.hu","216670","0.0348","371762","278131","53852524"
"Internet | viasat3.hu","213716","0.0343","3730296","347379","275993235"
"Internet | agrarszektor.hu","213111","0.0342","509114","339672","53726567"
"Internet | eurosport.hosszabbitas.hu","212869","0.0341","1065609","763121","117014059"
"Internet | magyarhirlap.hu","210365","0.0337","1379486","636688","172544640"
"Internet | termalfurdo.hu","208698","0.0335","638145","265319","39142424"
"Internet | contextus.hu","207735","0.0333","452519","301095","30495128"
"Internet | babanet.hu","207276","0.0333","512523","359232","52823695"
"Internet | civishir.hu","207163","0.0332","711401","487181","46503149"
"Internet | heol.hu","206511","0.0331","1362138","675449","91898245"
"Internet | sonline.hu","206116","0.0331","1011335","569244","74250516"
"Internet | koltozzbe.hu","203448","0.0326","1318310","401519","72893997"
"Internet | hellovidek.hu","203446","0.0326","476933","356917","51493409"
"Internet | medicalonline.hu","199434","0.032","386847","282498","51476839"
"Internet | sorozatjunkie.hu","196962","0.0316","1333349","598620","181443709"
"Internet | f1vilag.hu","194493","0.0312","802899","496118","57645379"
"Internet | hirkereso.hu","193391","0.031","14709074","3373248","2416826109"
"Internet | erettsegi.com","188719","0.0303","861106","385376","152257985"
"Internet | hu.motorsport.com","186826","0.03","4813838","1223959","215524803"
"Internet | haziallat.hu","186584","0.0299","353027","250620","38528129"
"Internet | kemma.hu","183345","0.0294","1075660","620074","67702675"
"Internet | autoszektor.hu","182749","0.0293","461456","390184","39634789"
"Internet | logout.hu","181202","0.0291","1050432","394789","106018343"
"Internet | repjegy.hu","179153","0.0287","927551","295195","70140191"
"Internet | gmail.hu","177489","0.0285","9123368","1737235","441555249"
"Internet | balintgazda.hu","176828","0.0284","474510","332704","53495023"
"Internet | vidtomp3.info","173287","0.0278","862136","414797","51788907"
"Internet | computerworld.hu","172871","0.0277","392208","298146","27648146"
"Internet | kapu.hu","172085","0.0276","25201692","4920846","4186451550"
"Internet | idokep.eu","169390","0.0272","1693517","1138283","84254258"
"Internet | harmonet.hu","166444","0.0267","467351","266229","48530054"
"Internet | noiportal.hu","163767","0.0263","1404742","340265","51993380"
"Internet | doksi.hu","162123","0.026","380714","219143","70569834"
"Internet | viszony.hu","161704","0.0259","8903929","575134","254723276"
"Internet | jobinfo.hu","160908","0.0258","805444","274220","33526122"
"Internet | likebalaton.hu","160782","0.0258","265124","196870","32686743"
"Internet | szoftverbazis.hu","160565","0.0258","436685","190114","43004932"
"Internet | jobline.hu","159485","0.0256","604266","259568","31262395"
"Internet | avilagtitkai.com","158869","0.0255","660280","318075","46861793"
"Internet | esport1.hu","158022","0.0254","1911956","927416","123778101"
"Internet | metabro.hu","154080","0.0247","917796","566881","59794897"
"Internet | instyle.hu","153432","0.0246","1781369","355637","29013138"
"Internet | agroforum.hu","153012","0.0245","296530","226854","40881992"
"Internet | sg.hu","151228","0.0243","1141642","416740","101884886"
