# Táblázat
"Forrás","Magyarország, DKT-Gemius (15+ belföldi közönség), 2020-03-01 - 2020-03-31"
"Riport","Domain-ek"
"Létrehozva","2021-07-25,15:12:07,CET"
"Periódus","2020-03-01 - 2020-03-31"
"Lokációk","Belföld"
"Platform","Teljes"
"Mutató","Real users"
"Node","Real users","Elérés - Internet","Oldalletöltések","Látogatások","Idő [s] (másodpercek)"
"Internet","6332085","0.9944","8596915895","2072047183","894096525180"
"Internet | index.hu","4264698","0.6697","364088589","103215489","41198887663"
"Internet | 24.hu","4223065","0.6632","98543932","53483768","9084160171"
"Internet | origo.hu","3993181","0.6271","157756523","50568500","13586122724"
"Internet | blog.hu","3965346","0.6227","28893192","15928984","3613071493"
"Internet | hvg.hu","3789422","0.5951","77197702","38899278","7435421062"
"Internet | portfolio.hu","3537489","0.5555","77359349","31737218","7122697860"
"Internet | nlc.hu","3457152","0.5429","53702638","32561667","4278121014"
"Internet | femina.hu","3287470","0.5163","58519674","23697725","2676830074"
"Internet | blikk.hu","3079366","0.4836","85311099","41628441","5853002090"
"Internet | 444.hu","2961666","0.4651","50627795","27362787","5539261574"
"Internet | hazipatika.com","2898078","0.4551","23333021","13540397","1770123796"
"Internet | nosalty.hu","2790260","0.4382","37575800","14668365","3189568811"
"Internet | napi.hu","2551941","0.4007","26743474","16714359","1876201842"
"Internet | mindmegette.hu","2546723","0.3999","19639932","9925007","2057552086"
"Internet | szeretlekmagyarorszag.hu","2528665","0.3971","27217389","12606477","1480994220"
"Internet | jofogas.hu","2461759","0.3866","129061481","16536836","6544678125"
"Internet | life.hu","2458220","0.386","33304912","14992178","1579503895"
"Internet | ripost.hu","2316162","0.3637","16714100","10269610","1079333366"
"Internet | borsonline.hu","2090485","0.3283","16422018","9793951","1141040648"
"Internet | penzcentrum.hu","2064660","0.3242","8312354","6667663","801360022"
"Internet | videa.hu","2056467","0.3229","39075879","17296948","34465563886"
"Internet | atv.hu","2016152","0.3166","18425747","11538286","1954833003"
"Internet | cafeblog.hu","1981229","0.3111","8442094","5708384","750644087"
"Internet | hasznaltauto.hu","1912547","0.3003","135905253","13064632","5985475147"
"Internet | idokep.hu","1859440","0.292","51148409","22489876","4260988892"
"Internet | webbeteg.hu","1853037","0.291","6919167","4562481","705609887"
"Internet | infostart.hu","1847002","0.29","10870949","5965953","829659931"
"Internet | startlap.hu","1799466","0.2826","62232969","35796834","11662923895"
"Internet | egeszsegkalauz.hu","1698726","0.2668","4756621","3686336","516995927"
"Internet | nepszava.hu","1600777","0.2514","19390978","5037553","947036472"
"Internet | vezess.hu","1488725","0.2338","12151848","8595449","1148689993"
"Internet | hirado.hu","1481848","0.2327","5196305","3555902","539438641"
"Internet | divany.hu","1425067","0.2238","9591012","4751052","890962678"
"Internet | port.hu","1391502","0.2185","33441909","5823944","1805249872"
"Internet | nemzetisport.hu","1353283","0.2125","41290948","16272876","3271437298"
"Internet | femcafe.hu","1334232","0.2095","15950759","4194443","419978489"
"Internet | cosmopolitan.hu","1325056","0.2081","7855947","5842717","521025942"
"Internet | promotions.hu","1318147","0.207","5949629","3335648","423988391"
"Internet | totalcar.hu","1315032","0.2065","20170353","7061475","1808120535"
"Internet | player.hu","1305652","0.205","6349648","4103821","505394481"
"Internet | velvet.hu","1250373","0.1964","14763090","5330852","676242911"
"Internet | noizz.hu","1244795","0.1955","3580222","2816440","264016073"
"Internet | mafab.hu","1213033","0.1905","7075632","2345598","509574723"
"Internet | qubit.hu","1202948","0.1889","3354304","2706284","539108802"
"Internet | mandiner.hu","1202541","0.1888","7088043","3312181","859301090"
"Internet | indavideo.hu","1189060","0.1867","29844783","7861407","12410247586"
"Internet | receptneked.hu","1178202","0.185","6105969","3631346","504203676"
"Internet | magyarnemzet.hu","1153246","0.1811","7015681","3601993","874815446"
"Internet | mfor.hu","1147141","0.1801","3619946","2687440","372251182"
"Internet | filantropikum.com","1127998","0.1771","2902229","2365405","352026745"
"Internet | reblog.hu","1091032","0.1713","4271444","2863099","504073290"
"Internet | freemail.hu","1078583","0.1694","203926418","26642325","7144921374"
"Internet | tv2.hu","1069330","0.1679","15784282","6785349","5013401811"
"Internet | vatera.hu","1032997","0.1622","26350324","3693162","1371422517"
"Internet | alon.hu","1026206","0.1612","6779191","3132357","288601715"
"Internet | 168ora.hu","1025794","0.1611","4557873","3041319","412247008"
"Internet | 888.hu","1024558","0.1609","8016065","4023012","681994068"
"Internet | forbes.hu","1010161","0.1586","5052823","2064746","3603976"
"Internet | rtl.hu","1001504","0.1573","4315598","2123110","346861413"
"Internet | wmn.hu","995801","0.1564","4187050","2912501","717909627"
"Internet | profession.hu","990613","0.1556","19569430","3971968","1129039292"
"Internet | bien.hu","979004","0.1537","13205938","4186102","509638041"
"Internet | joy.hu","978329","0.1536","16266886","3813525","464672054"
"Internet | g7.hu","969465","0.1522","3551160","2770256","575593221"
"Internet | ittlakunk.hu","951312","0.1494","3591694","2755535","290717589"
"Internet | glamour.hu","947725","0.1488","4198949","3046892","295827877"
"Internet | hirklikk.hu","946262","0.1486","4488906","3324102","599368920"
"Internet | travelo.hu","935375","0.1469","2512539","1743616","211588336"
"Internet | mediaklikk.hu","933096","0.1465","6860814","3168197","4379779842"
"Internet | magyarnarancs.hu","882956","0.1387","3189280","2196129","291777154"
"Internet | indirekt.hu","856363","0.1345","2759453","2048256","229588878"
"Internet | babaszoba.hu","853992","0.1341","4485977","2905100","374407345"
"Internet | ma.hu","845718","0.1328","2040372","1708290","145410878"
"Internet | hirstart.hu","826535","0.1298","16637821","7386689","1398010112"
"Internet | magyarhang.org","799800","0.1256","2644287","1888700","287692583"
"Internet | hirvilag.hu","790599","0.1242","2926848","1853870","138069718"
"Internet | menetrendek.hu","788677","0.1239","5630002","4128060","541189147"
"Internet | eduline.hu","787919","0.1237","3353265","1969050","215349190"
"Internet | hellovidek.hu","770880","0.1211","2126841","1601371","211768461"
"Internet | streetkitchen.hu","769690","0.1209","6740290","2265497","579122789"
"Internet | sobors.hu","759946","0.1193","2659814","1654208","285011836"
"Internet | topszotar.hu","742146","0.1165","5686408","2049388","324355694"
"Internet | csaladinet.hu","739500","0.1161","1615255","1344586","195148429"
"Internet | agroinform.hu","713455","0.112","9852726","2266491","664932607"
"Internet | marieclaire.hu","706957","0.111","1656742","1325319","213816588"
"Internet | medicalonline.hu","692197","0.1087","1151598","938718","169381020"
"Internet | alfahir.hu","690393","0.1084","2156137","1535241","195315466"
"Internet | privatbankar.hu","683058","0.1073","2866534","2186136","324285410"
"Internet | minden-egyben.com","673741","0.1058","5800253","4275129","345926703"
"Internet | szon.hu","663151","0.1041","5093023","2845261","362400804"
"Internet | ceginformacio.hu","658806","0.1035","1662036","1129456","249848957"
"Internet | propeller.hu","656212","0.103","3564714","2131805","246267836"
"Internet | kisalfold.hu","640350","0.1006","6886856","3311134","493675800"
"Internet | hrportal.hu","634224","0.0996","2168767","1056047","243061721"
"Internet | haon.hu","632716","0.0994","3794850","2047258","289658814"
"Internet | profitline.hu","605849","0.0951","1958495","967338","110324842"
"Internet | koponyeg.hu","603151","0.0947","5553803","3813138","551652524"
"Internet | blogstar.hu","602469","0.0946","2099320","1329163","166812731"
"Internet | delmagyar.hu","598933","0.0941","4217274","2179664","303466350"
"Internet | nyugat.hu","587056","0.0922","6639647","3393557","478679874"
"Internet | eoldal.hu","583461","0.0916","1746078","936939","163420835"
"Internet | veol.hu","569488","0.0894","2597789","1762605","189509002"
"Internet | azonnali.hu","563246","0.0885","1224688","929093","243500261"
"Internet | welovebudapest.com","554989","0.0872","1129984","838227","107807129"
"Internet | autonavigator.hu","554838","0.0871","1897267","1149625","190456181"
"Internet | wellandfit.hu","553562","0.0869","1611882","1262400","121003080"
"Internet | retikul.hu","550498","0.0864","2625635","951770","-"
"Internet | m4sport.hu","550175","0.0864","2415815","1751264","452974439"
"Internet | vg.hu","540223","0.0848","1583956","1043036","115101061"
"Internet | atlatszo.hu","525369","0.0825","1034346","791616","133442790"
"Internet | napjainkportal.hu","524453","0.0824","5159703","4015758","750518837"
"Internet | evamagazin.hu","521410","0.0819","3360913","973947","136506103"
"Internet | bama.hu","520648","0.0818","3596644","2068146","268041878"
"Internet | ign.hu","520643","0.0818","3486763","2251577","295733280"
"Internet | kremmania.hu","515408","0.0809","5084546","1248505","200970101"
"Internet | harmonikum.co","511641","0.0803","4729948","3046328","613242449"
"Internet | vasarlocsapat.hu","506130","0.0795","1837214","1141904","145663244"
"Internet | raketa.hu","504457","0.0792","969243","834025","116363313"
"Internet | alapjarat.hu","504019","0.0791","1478450","1238769","157922590"
"Internet | bookline.hu","501946","0.0788","4967870","1018914","233884592"
"Internet | szuloklapja.hu","498179","0.0782","1103706","822438","111939161"
"Internet | napidoktor.hu","492565","0.0774","1159825","935156","125287150"
"Internet | media1.hu","481506","0.0756","954421","783221","91718200"
"Internet | famiily.hu","474529","0.0745","1067379","802754","129265383"
"Internet | jobbmintatv.hu","470553","0.0739","12615834","5004949","11549134703"
"Internet | boon.hu","470184","0.0738","3892104","1927832","278647824"
"Internet | beol.hu","456288","0.0717","2584978","1483014","199268204"
"Internet | magyarhirlap.hu","453477","0.0712","2100819","1106559","228304877"
"Internet | rtlmost.hu","451678","0.0709","13636173","3496861","6704364016"
"Internet | startapro.hu","448480","0.0704","8012300","873156","191560873"
"Internet | ingatlantajolo.hu","446869","0.0702","3743448","935748","183316129"
"Internet | twice.hu","442961","0.0696","982609","793716","101160919"
"Internet | pcworld.hu","438046","0.0688","1171022","830959","108199473"
"Internet | vaol.hu","437359","0.0687","3434202","2062402","239911285"
"Internet | bankmonitor.hu","428441","0.0673","1049243","755878","146185484"
"Internet | g-portal.hu","424881","0.0667","2619743","1000290","538957491"
"Internet | tenyek.hu","422679","0.0664","999562","604109","127035396"
"Internet | ado.hu","408536","0.0642","1065835","609199","136415510"
"Internet | formula.hu","404865","0.0636","2529858","1439521","185244995"
"Internet | avilagtitkai.com","404844","0.0636","1252794","617868","61215598"
"Internet | feol.hu","403595","0.0634","2291584","1484591","177695769"
"Internet | adozona.hu","402691","0.0632","1513980","911090","188737528"
"Internet | ng.hu","401986","0.0631","1054110","786372","109224552"
"Internet | zaol.hu","400931","0.063","2843654","1602458","205925204"
"Internet | starity.hu","399910","0.0628","1859403","768428","78054178"
"Internet | agrarszektor.hu","399572","0.0627","997457","708424","102607936"
"Internet | musor.tv","396230","0.0622","3201462","1194417","205349989"
"Internet | hobbikert.hu","391637","0.0615","1325288","971582","182982887"
"Internet | piac-profit.hu","390691","0.0614","1004449","672504","82659885"
"Internet | nuus.hu","390041","0.0613","1363516","978538","78908239"
"Internet | baon.hu","385797","0.0606","1992630","1214275","154766570"
"Internet | ingatlanbazar.hu","385380","0.0605","4666965","819776","140816328"
"Internet | roadster.hu","380117","0.0597","985751","790589","90777767"
"Internet | szotar.sztaki.hu","379262","0.0596","4069323","1076253","422061814"
"Internet | edenkert.hu","365545","0.0574","763078","506349","93052087"
"Internet | met.hu","365327","0.0574","5536566","2489795","517217716"
"Internet | likebalaton.hu","362334","0.0569","578172","473838","89851964"
"Internet | eredmenyek.com","360745","0.0567","12143027","4920035","2608847174"
"Internet | mult-kor.hu","348491","0.0547","1589702","749756","196470027"
"Internet | computerworld.hu","347076","0.0545","786590","593791","45307437"
"Internet | utazomajom.hu","346255","0.0544","1556743","1036393","84746518"
"Internet | sorozatbarat.online","341376","0.0536","20955921","6809070","1674289821"
"Internet | csakfoci.hu","341000","0.0535","3152198","1827821","264027055"
"Internet | net.jogtar.hu","335251","0.0526","884697","619628","303714183"
"Internet | sonline.hu","333995","0.0524","1540361","976885","113910002"
"Internet | hiros.hu","332625","0.0522","1299604","972840","100503020"
"Internet | citromail.hu","331517","0.0521","59666484","5966564","1403409231"
"Internet | helyesiras.mta.hu","330635","0.0519","2502253","698301","209782890"
"Internet | gamestar.hu","330290","0.0519","3668140","2092674","257079901"
"Internet | civishir.hu","325788","0.0512","1062231","776897","78437984"
